asset_entity_id	asset_name	antigen_display_name	resolution_note
ADC_CANDIDATE_GEMTUZUMAB_OZOGAMICIN	Gemtuzumab ozogamicin	Myeloid cell surface antigen CD33 (CD33)	antigen resolved via ADCdb_Obsidian/ADCs/Gemtuzumab ozogamicin.md 'antigen:' wikilink field
ADC_CANDIDATE_BRENTUXIMAB_VEDOTIN	Brentuximab vedotin	Tumor necrosis factor receptor superfamily member 8 (TNFRSF8)	antigen resolved via ADCdb_Obsidian/ADCs/Brentuximab vedotin.md 'antigen:' wikilink field
ADC_CANDIDATE_TRASTUZUMAB_EMTANSINE	Trastuzumab emtansine	Receptor tyrosine-protein kinase erbB-2 (HER2)	antigen resolved via ADCdb_Obsidian/ADCs/Trastuzumab emtansine.md 'antigen:' wikilink field
ADC_CANDIDATE_INOTUZUMAB_OZOGAMICIN	Inotuzumab ozogamicin	B-cell receptor CD22 (CD22)	antigen resolved via ADCdb_Obsidian/ADCs/Inotuzumab ozogamicin.md 'antigen:' wikilink field
ADC_CANDIDATE_POLATUZUMAB_VEDOTIN	Polatuzumab vedotin	B-cell antigen receptor complex-associated protein beta chain (CD79B)	antigen resolved via ADCdb_Obsidian/ADCs/Polatuzumab vedotin.md 'antigen:' wikilink field
ADC_CANDIDATE_ENFORTUMAB_VEDOTIN	Enfortumab vedotin	Nectin-4 (NECTIN4)	antigen resolved via ADCdb_Obsidian/ADCs/Enfortumab vedotin.md 'antigen:' wikilink field
ADC_CANDIDATE_TRASTUZUMAB_DERUXTECAN	Trastuzumab deruxtecan	Receptor tyrosine-protein kinase erbB-2 (HER2)	antigen resolved via ADCdb_Obsidian/ADCs/Trastuzumab deruxtecan.md 'antigen:' wikilink field
ADC_CANDIDATE_SACITUZUMAB_GOVITECAN	Sacituzumab govitecan	Tumor-associated calcium signal transducer 2 (TROP2)	antigen resolved via ADCdb_Obsidian/ADCs/Sacituzumab govitecan.md 'antigen:' wikilink field
ADC_CANDIDATE_BELANTAMAB_MAFODOTIN	Belantamab mafodotin	Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	antigen resolved via ADCdb_Obsidian/ADCs/Belantamab mafodotin.md 'antigen:' wikilink field
ADC_CANDIDATE_LONCASTUXIMAB_TESIRINE	Loncastuximab tesirine	B-lymphocyte antigen CD19 (CD19)	antigen resolved via ADCdb_Obsidian/ADCs/Loncastuximab tesirine.md 'antigen:' wikilink field
ADC_CANDIDATE_TISOTUMAB_VEDOTIN	Tisotumab vedotin	Tissue factor (F3)	antigen resolved via ADCdb_Obsidian/ADCs/Tisotumab vedotin.md 'antigen:' wikilink field
ADC_CANDIDATE_MIRVETUXIMAB_SORAVTANSINE	Mirvetuximab soravtansine	Folate receptor alpha (FOLR1)	antigen resolved via ADCdb_Obsidian/ADCs/Mirvetuximab soravtansine.md 'antigen:' wikilink field
ADC_CANDIDATE_DISITAMAB_VEDOTIN	Disitamab vedotin	Receptor tyrosine-protein kinase erbB-2 (HER2)	antigen resolved via ADCdb_Obsidian/ADCs/Disitamab vedotin.md 'antigen:' wikilink field
ADC_CANDIDATE_DATOPOTAMAB_DERUXTECAN	Datopotamab deruxtecan	Tumor-associated calcium signal transducer 2 (TROP2)	antigen resolved via ADCdb_Obsidian/ADCs/Datopotamab deruxtecan.md 'antigen:' wikilink field
ADC_CANDIDATE_ADC_SUFFIX_5a33565c2c4a	Labetuzumab Govitecan	Carcinoembryonic antigen-related cell adhesion molecule 5 (CEACAM5)	antigen resolved via ADCdb_Obsidian/ADCs/Labetuzumab govitecan.md 'antigen:' wikilink field
ADC_CANDIDATE_ADC_SUFFIX_f5c595efeea1	Pinatuzumab Vedotin	B-cell receptor CD22 (CD22)	antigen resolved via ADCdb_Obsidian/ADCs/Pinatuzumab vedotin.md 'antigen:' wikilink field
