gene_symbol	uniprot_accession	uniprot_entry_name	retrieved_at	source_query_url
AXL	P30530	UFO_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
CD19	P15391	CD19_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
CD22	P20273	CD22_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
CD276	Q5ZPR3	CD276_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
CD33	P20138	CD33_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
CD79B	P40259	CD79B_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
CDH6	P55285	CADH6_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
CEACAM5	P06731	CEAM5_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
DLL3	Q9NYJ7	DLL3_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
EGFR	P00533	EGFR_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
ERBB2	P04626	ERBB2_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
ERBB3	P21860	ERBB3_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
F3	P13726	TF_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
FOLR1	P15328	FOLR1_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
ITGB6	P18564	ITB6_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
MET	P08581	MET_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
NECTIN4	Q96NY8	NECT4_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
ROR1	Q01973	ROR1_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
ROR2	Q01974	ROR2_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
SLC39A6	Q13433	S39A6_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
TACSTD2	P09758	TACD2_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
TNFRSF17	Q02223	TNR17_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
TNFRSF8	P28908	TNR8_HUMAN	2026-08-23	https://rest.uniprot.org/uniprotkb/search
