target_id	target_symbol	hgnc_id	uniprot_id	adcdb_highest_clinical_stage	adcdb_cancer_types_with_precedent	adcdb_payload_precedent	human_adc_exposure_evidence	derisking_tier	repurposing_status	source_id	source_reference	last_synced	notes
tgt_axl	AXL	HGNC:905	P30530	PHASE2	Cervical Cancer; Endometrial Cancer; Melanoma; Non Small Cell Lung Cancer (NSCLC); Ovarian Cancer; Sarcoma; Solid Tumors; Thyroid Cancer	MMAE	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_8a46197896f6 | antigen:TAR0PMKUR	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_cd19	CD19	HGNC:1633	P15391	APPROVED	Acute Lymphoblastic Leukemia; B-Cell Lymphoma Treatment; B-Cell Non-Hodgkin Lymphoma; B-cell Lymphoma; B-cell Non Hodgkin Lymphoma; Breast Cancer; Burkitt Lymphoma; Burkitt's Lymphoma (+38 more distinct root terms, 72 raw indication strings total)	MMAF; PBD dimer	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_LONCASTUXIMAB_TESIRINE;ADC_CANDIDATE_ADC_SUFFIX_4e000bdcb848 | antigen:TAR0EBTXG	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_cd22	CD22	HGNC:1643	P20273	APPROVED	ACUTE LYMPHOBLASTIC LEUKEMIA; Acute Leukemias of Ambiguous Lineage; Acute Lymphocytic Leukemia; B Acute Lymphoblastic Leukemia; B Acute Lymphoblastic Leukemia With t(9;22)(q34.1;q11.2); B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative; B Lymphoblastic Lymphoma; B-Cell Lymphoma (+28 more distinct root terms, 47 raw indication strings total)	MMAE; calicheamicin	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_INOTUZUMAB_OZOGAMICIN;ADC_CANDIDATE_ADC_SUFFIX_f5c595efeea1 | antigen:TAR0XTCGM	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_cd276	CD276	HGNC:19137	Q5ZPR3	PHASE3	Extensive Stage-small Cell Lung Cancer; Extensive-stage Small-cell Lung Cancer; Neuroendocrine Carcinoma; Small Cell Lung Cancer; Small-Cell Lung Cancer	exatecan-derivative (topo1i)	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_5d5b94f8644a | antigen:TAR0GLSWQ	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_cd33	CD33	HGNC:1659	P20138	APPROVED	Acute Myelogenous Leukemia; Acute Myeloid Leukemia; Chronic Lymphocytic Leukemia; Leukemia; Leukemia, Myeloid; Leukemia, Myeloid, Acute; Myelodysplastic Syndrome; Myelodysplastic Syndromes (+1 more distinct root terms, 9 raw indication strings total)	calicheamicin	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_GEMTUZUMAB_OZOGAMICIN | antigen:TAR0OVWVF	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_cd79b	CD79B	HGNC:1699	P40259	APPROVED	ALK-Positive Large B-Cell Lymphoma; Aggressive Non-Hodgkin Lymphoma; B-Cell Lymphoma; B-Cell Non-Hodgkin Lymphoma; Burkitt Lymphoma; Chronic Lymphocytic Leukemia; DLBCL; Diffuse Large B Cell Lymphoma (+56 more distinct root terms, 99 raw indication strings total)	MMAE	YES	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_POLATUZUMAB_VEDOTIN | antigen:TAR0KZVDX	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_cdh6	CDH6	HGNC:1765	P55285	PHASE2	Ovarian Cancer Recurrent	exatecan-derivative (topo1i)	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_d82b69ba971c | antigen:TAR0SOZLV	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_ceacam5	CEACAM5	HGNC:1817	P06731	PHASE2	Colon Cancer; Colorectal Cancer; Rectal Cancer	SN-38	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_5a33565c2c4a | antigen:TAR0MKNCY	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_dll3	DLL3	HGNC:2909	Q9NYJ7	PHASE2	Small Cell Lung Cancer; Small Cell Lung Carcinoma	PBD dimer	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_f9862657f765 | antigen:TAR0HELFC	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
tgt_egfr	EGFR	HGNC:3236	P00533	PHASE3	Glioblastoma; Glioblastoma Multiforme; Gliosarcoma	MMAF	UNKNOWN	A_CLINICAL	ACTIVE	adcdb_claude_redo;adcdb_published	adc_candidates.tsv:ADC_CANDIDATE_ADC_SUFFIX_9ba9a67ff4b7 | antigen:TAR0UYFIF	2026-08-23	derisking_tier=A_CLINICAL per ADC_ATLAS_DATASET_CONTRACT.md Module A admission gate definition (a real ADC construct against this target is approved or has entered a human trial per adc_candidates.tsv, status=VALIDATED); this does not by itself establish CRC/mCRC relevance -- see adcdb_cancer_types_with_precedent for whether CRC-family terms are among the documented indications. human_adc_exposure_evidence=YES only when an approved asset exists for this target (approval implies documented dosing); a clinical-stage-only target gets UNKNOWN here even though its derisking_tier is still A_CLINICAL -- trial registration is not the same claim as documented human exposure.
