dataset_id	source_url	repository_commit	path	size_bytes	git_blob_sha	asset_class	availability	default_scope	notes
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/.DS_Store	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/.DS_Store	6148	120a94a9c83c250105a1e97c4c27a0aaa9e7501d	REPOSITORY_METADATA	PUBLIC	NO_DOWNLOAD	Metadata file; content not read.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/README.txt	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/README.txt	119	617e8cfc21c7e91c8063bf2c3b6e50e20912697a	DOCUMENTATION	PUBLIC	NO_DOWNLOAD	Content not read.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/expression/.DS_Store	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/expression/.DS_Store	6148	620334cadf04caf445730ef051948ddd5d259c44	REPOSITORY_METADATA	PUBLIC	NO_DOWNLOAD	Metadata file; content not read.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/expression/cris/.DS_Store	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/expression/cris/.DS_Store	6148	b544dd7612da20603ac7d899b599679056b33b2b	REPOSITORY_METADATA	PUBLIC	NO_DOWNLOAD	Metadata file; content not read.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/expression/cris/41467_2017_BFncomms15107_MOESM422_ESM.xlsx	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/expression/cris/41467_2017_BFncomms15107_MOESM422_ESM.xlsx	56386	8b9b70381adc6141d0ea8e9419d7f9035f560751	EXTERNAL_XLSX_REFERENCE	PUBLIC	REVIEW_REQUIRED	External reference workbook; not treated as GSE117548-derived data and content not read.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/expression/gsea/REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX.txt	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/expression/gsea/REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX.txt	501	5d7e6505d864bd8b32c4991429132836f8809468	PATHWAY_SIGNATURE_REFERENCE	PUBLIC	REVIEW_REQUIRED	External pathway signature; content not read.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/expression/gsea/REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS.txt	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/expression/gsea/REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS.txt	293	6d8add7d179cd5fdf61e1416bee5bd17dc40309d	PATHWAY_SIGNATURE_REFERENCE	PUBLIC	REVIEW_REQUIRED	External pathway signature; content not read.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/expression/gsea/REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION.txt	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/expression/gsea/REACTOME_TGF_BETA_RECEPTOR_SIGNALING_IN_EMT_EPITHELIAL_TO_MESENCHYMAL_TRANSITION.txt	283	ff79808a94399a26d544eace5fe65aab7218279c	PATHWAY_SIGNATURE_REFERENCE	PUBLIC	REVIEW_REQUIRED	External pathway signature; content not read.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/expression/gsea/TGFB_UP.V1_DN.txt	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/expression/gsea/TGFB_UP.V1_DN.txt	1309	3a078e8d1e378f56b704aebf1c18e72231ebf	PATHWAY_SIGNATURE_REFERENCE	PUBLIC	REVIEW_REQUIRED	External pathway signature; content not read.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/expression/gsea/TGFB_UP.V1_UP.txt	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/expression/gsea/TGFB_UP.V1_UP.txt	1281	fa943c9201c41d0224af61d581f72ef5325991aa	PATHWAY_SIGNATURE_REFERENCE	PUBLIC	REVIEW_REQUIRED	External pathway signature; content not read.
GSE117548	https://github.com/boutroslab/Supp_BetgeRindtorff_2021/blob/1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19/data/external/expression/merloz-suarez_sigantures.xls	1bfec50e1f8f8deb7bbaa40aa28315262dbb1c19	data/external/expression/merloz-suarez_sigantures.xls	37376	0b4458cb2be7acc1e262ea1cb11488545d4272e6	EXTERNAL_SIGNATURE_WORKBOOK	PUBLIC	REVIEW_REQUIRED	External signature workbook; content not read.
