dataset_id	verification_status	verified_source	accession	publication_or_record	patient_or_model_scope	processed_data_status	raw_data_status	download_method	next_action
GSE178318	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178318	GSE178318	PMID:34489408	6 labelled patients; 15 samples; matched primary/liver/PBMC; preoperative chemotherapy context	AVAILABLE	AVAILABLE_IN_SRA	GEO supplementary matrix/metadata first; no raw download	Sample-level treatment/pairing reconciliation is recorded; next gate is PI-contact usage terms, checksums, molecular annotations and final admission review.
GSE224235	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE224235	GSE224235	PMID:37057593	9 patients; 17 samples; matched primary/liver subsets; NanoString nCounter 900-gene panel	AVAILABLE_IN_SAMPLE_TABLE	AVAILABLE_170KB_ARCHIVE	GEO sample table first; raw archive only if needed	Context comparator only; target-discovery value lowered to 2; GeoMx availability remains unconfirmed.
GSE226997	VERIFIED_REFERENCE_ONLY	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE226997	GSE226997	PMID:38446659	4 primary CRC patients; Visium comparator	AVAILABLE_SUPPLEMENTARY	AVAILABLE_41_2GB_ARCHIVE	Use processed supplementary files; do not download raw archive by default	Keep reference-only; document file names/checksums if used.
DepMap_26Q1	VERIFIED_RELEASE_ENTRY	https://depmap.org/portal/data_page/?tab=allData	DepMap_26Q1	DepMap Public 26Q1 release	Public cancer cell-line dependency/genomics resource; CRC subset not yet extracted	AVAILABLE_IN_PORTAL	NOT_APPLICABLE	Use official bulk downloads after interactive portal verification	Record exact release files, CRC-subset filtering rules, release terms, and checksums; portal human verification currently blocks file-level materialization.
PXD038149	VERIFIED_REPOSITORY_ENTRY	https://proteomecentral.proteomexchange.org/dataset/PXD038149	PXD038149	PMID:36604765	Advanced CRC PDOs, including heavily pre-treated models and pre/post chemotherapy liver disease PDOs	REPOSITORY_FILES_AVAILABLE	REPOSITORY_FILES_AVAILABLE	PRIDE FTP processed-first; inventory before download	Record exact processed protein/RNA/response files and checksums.
MCRC_liver_metastasis_PDO_2026	VERIFIED_REPOSITORY_ENTRY	https://data.mendeley.com/datasets/hr94h42xdc/3	hr94h42xdc.3	PMID:42208542; DOI:10.17632/hr94h42xdc.3	213 liver-metastasis PDOs from 102 mCRC patients; five linked Data S1-S5 files	AVAILABLE_IN_MENDELEY_DATA	NOT_RECORDED	Mendeley Data landing page Download All; processed files first; no download performed	Record checksums, sample-level clinical/treatment reconciliation and third-party terms before APPROVED.
HPA_normal_tissue	VERIFIED_PORTAL_ENTRY	https://www.proteinatlas.org/about/download	HPA	Human Protein Atlas version 25.1; Ensembl v109	Normal human protein/RNA/IHC, single-cell, blood and subcellular references	AVAILABLE_IN_PORTAL	NOT_APPLICABLE	Use three v25.1 atlas exports plus one static cell.svg asset indexed in file_inventory.tsv; select minimum organs for therapeutic window	Record file sizes, checksums, third-party terms and minimum organ subset before APPROVED.
CRLM_NMP_ATLAS	VERIFIED_ENTRY	https://zenodo.org/records/16939324	10.5281/zenodo.16939324	CRLM-NMP-ATLAS Zenodo/CELLxGENE record; concept DOI 10.5281/zenodo.15234826	Six CRLM patients; 75,104 processed cells; baseline/post-perfusion scRNA/ST	AVAILABLE	AVAILABLE_IN_RECORD	Zenodo processed archive first; CELLxGENE export	Latest Zenodo version exposes three archives with source-record sizes/checksums and CC BY 4.0; inner h5ad names and sample count remain UNKNOWN; no download performed.
HTAN_CRC_progressive_plasticity	VERIFIED_ENTRY	https://cellxgene.cziscience.com/collections/1cbfb478-2c7f-4d15-b522-9f74e9fe52a8	CELLxGENE collection	NA	31 MSS patients; 83 tumor/normal samples; primary and multi-site metastases	AVAILABLE_IN_COLLECTION	NOT_APPLICABLE	CELLxGENE processed export first	Record exact dataset files and publication DOI.
GSE159216	VERIFIED_LANDING_PAGE	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE159216	GSE159216	NA	CRLM bulk transcriptomic subtype comparator	AVAILABLE	AVAILABLE_IN_SRA	GEO processed matrix first	Record sample count and clinical fields before P1 approval.
